"adverts"	"sales"	"airplay"	"attract"	"residuals"	"standardized.residuals"	"studentized.residuals"	"cooks.distance"	"dfbeta.(Intercept)"	"dfbeta.adverts"	"dfbeta.airplay"	"dfbeta.attract"	"dffit"	"leverage"	"covariance.ratios"
10.256	330	43	10	100.079745217441	2.17740408238376	2.19859632992664	0.0587038820601721	-5.42182706706867	-0.00166159147200476	0.0433929165749	0.8529699234921	0.489293979965338	0.0471905256041176	0.971274990874465
985.685	120	28	7	-108.948991725879	-2.32308277865479	-2.34972370774054	0.010889432250004	0.21601701760769	-0.000864968983218139	0.00258708061243191	-0.0450304094999533	-0.211098296015573	0.00800653614388486	0.920183161882535
1445.563	360	35	7	68.442368458618	1.46880155150533	1.4731799194787	0.0114006598735151	-0.658517969657543	0.00120743581110127	0.0128983716102565	-0.0130879018481636	0.214184312240587	0.0207004268326442	0.997110046029348
1188.193	270	33	7	7.02402624938925	0.15011595417913	0.149741123986792	7.16647752750389e-05	-0.044808688532874	8.4417001623666e-05	0.000958984845304481	0.000315605599832763	0.0168887343656444	0.0125609455385696	1.03317954411211
574.513	220	44	5	-5.75286071693427	-0.123798339400865	-0.12348695152337	0.000102542254772175	-0.149283504905532	7.55285966784698e-06	-0.0039693381773699	0.0331263833676939	-0.0202016888313046	0.02606531913255	1.04765952741322
568.954	170	19	5	28.9046432888516	0.618259706722786	0.617282712085091	0.00137734732445165	1.14345654186252	1.55409351769518e-05	-0.00579243314885992	-0.125126574189053	0.0741079672745042	0.0142084487679076	1.02732899107411
471.814	70	20	1	-21.8717291480424	-0.487199936015884	-0.486250012929811	0.00594368005574005	-2.51994173278747	-6.96485059961559e-06	-0.00141552957883567	0.360832483050401	-0.153889897633196	0.0910425709585452	1.11747349262025
537.352	210	22	9	17.1395572036135	0.367864063669775	0.367051168054129	0.000723022760966566	-0.488486810192136	-4.06302775825757e-05	-0.00533579002772044	0.11044520857765	0.0536593276517481	0.0209244210538313	1.03960847348369
514.068	200	21	7	34.656111052101	0.738553073717988	0.73769380270673	0.000949037320273818	0.194766577165991	-6.20794265559233e-05	-0.0080529176131585	0.0353497081245581	0.061541215011563	0.00691142892819751	1.01638118180106
174.093	300	40	7	99.5337512439587	2.13028877629469	2.14988206679835	0.017756471647924	-0.215970959868713	-0.00107095058140712	0.0461632913136037	0.0162397839860206	0.268958014220231	0.0154097375251316	0.943920028238616
1720.806	290	32	7	-14.8193099595695	-0.319744223777781	-0.319010717775152	0.000822628958468825	0.15220080055546	-0.000358814926851647	-0.000901288575238369	0.00244660983459363	-0.0572314249470544	0.0311817775186297	1.05132542683934
611.479	70	20	2	-44.8135034576547	-0.983761456896548	-0.983680209790156	0.0165706870451775	-4.17762367598804	-0.00013523997245364	0.00026189379155191	0.592924817286554	-0.257433098657887	0.0640989388536731	1.0691952311083
251.192	150	24	8	-14.2183163669362	-0.303943032342755	-0.303238147519653	0.00030491808334148	0.149329636752197	0.000117796712846556	0.00229924639874142	-0.0527274491549524	-0.0348428145311575	0.0130305426438538	1.03219830969254
97.972	190	38	6	13.8164545650391	0.296024763240558	0.295334661078947	0.00039040114005947	0.224093599898252	-0.000163139899015415	0.00627820531087566	-0.0334114849540027	0.039425019016794	0.0175082958150029	1.0370031851905
406.814	240	24	7	73.6580725775812	1.56941085719703	1.57533170114026	0.00404109572488715	0.354756690213077	-0.000320945175029244	-0.00875527669477582	0.06704777368935	0.127618878733753	0.00651996057735666	0.976692775199662
265.398	100	25	5	-35.5326097499212	-0.760350902747362	-0.759529756465075	0.00220723260538647	-1.37471519407342	0.000234297077229758	-0.00125048036038155	0.160232228841625	-0.0938609129953035	0.0150417301594072	1.02408581720183
1323.287	250	35	5	-9.00558425181146	-0.193991157566532	-0.193514227869246	0.000271341757664908	-0.225110638640885	-0.000144552713608338	-0.00278914861619367	0.0508568102634425	-0.0328639135523052	0.0280326674387055	1.04930223049055
196.65	210	36	8	10.0023697204611	0.214062126849983	0.213540314806918	0.000177621136022401	-0.167624162018081	-0.000104436442685253	0.00266319878416677	0.0309217893237763	0.026589940154406	0.0152683760457131	1.03552782884093
1326.598	280	27	8	14.3937578425323	0.308675463238701	0.307961881994575	0.000468790422668152	-0.30064563608345	0.000217777793517361	-0.00202805055902113	0.0437218385417539	0.0432030310605453	0.0193005827455528	1.03873611474731
1380.689	230	33	8	-60.4022982579063	-1.29613466785239	-1.29840040609987	0.00879595665381044	1.4919670310564	-0.000958576699513709	-0.0040972571096805	-0.162284750978044	-0.187901415470324	0.020513569717939	1.0067773820149
792.345	210	33	7	-19.3744854832569	-0.412813277128784	-0.411937956768646	0.000281014687482528	0.0619984155055166	-6.45636089734842e-05	-0.00322481163936163	-0.00460248483530027	-0.0334558955027935	0.00655279361480061	1.02383501367743
957.167	230	28	6	14.5580889224	0.310636708667537	0.309919554272683	0.000229105513983761	0.215084167875978	0.000113798057174372	0.000472718495721547	-0.0331641220572266	0.0302025748467364	0.00940773152125799	1.02833695690351
1789.659	320	30	9	-6.10170489394501	-0.132587801758032	-0.132255066252286	0.00020620247805619	0.269273072011752	-0.00015415579124245	0.000785915178711687	-0.0336943101020961	-0.0286474310532224	0.044816066883942	1.06817648785057
656.137	210	34	7	-11.1799183892624	-0.238197464109592	-0.237623436551003	9.19189222102307e-05	0.0298483936849692	-3.25297046054651e-06	-0.00237046302391127	-0.00279524814768283	-0.0191286621269187	0.00643851034007177	1.02609634204309
613.697	230	49	7	-38.0887839674034	-0.81740121749181	-0.816706568390119	0.00353087257334893	0.40941698350717	6.94497261595038e-05	-0.0286228454224951	0.0207637974977927	-0.118741296374694	0.0207007881239351	1.02810731579319
313.362	250	40	8	26.6255913251072	0.569956017414313	0.568971890437906	0.00129915328533617	-0.530519028870355	-0.000218237561665283	0.0106145321787249	0.0750317321644614	0.0719630665263889	0.0157450951187292	1.03014099316676
336.51	60	20	4	-53.6454783791319	-1.15432436061867	-1.15530965181882	0.00885810825494096	-3.12036735850053	0.000225113724584777	0.00502789050714665	0.379383713164484	-0.1883957181689	0.0259028485401902	1.01960839372634
1544.899	330	42	7	6.43827327360021	0.138723509894971	0.138375964221014	0.000141278581443543	-0.0930206510791946	0.000125148332805041	0.00278667986944574	-0.00404269356237555	0.0237125767760729	0.0285276899801682	1.05023101812104
68.954	150	35	8	-35.7907524762301	-0.766925027368024	-0.766116462563011	0.00265527395416672	0.544690583452724	0.000472403422221114	-0.00864450479516257	-0.115125910962482	-0.102950046612519	0.0177374463040484	1.02668528716543
785.692	150	8	6	16.4622177257987	0.353068141980635	0.352278349506358	0.000619513345686614	0.452163082021944	9.36803201689483e-05	-0.0109229180674752	-0.0185219829708495	0.0496686950308068	0.0194914865458454	1.03831532634895
125.628	180	49	7	-46.6591322395708	-1.00486682411326	-1.00489196562456	0.00716322927373881	0.320499151359942	0.000591914829592165	-0.037118668605076	0.0142790016620264	-0.169275960757064	0.0275930606993985	1.02817022808987
377.925	80	19	8	-78.1388990605603	-1.67107462673116	-1.67880846129145	0.00981839372065441	0.683710198034941	0.000400279758175419	0.0272083177317309	-0.306361144130613	-0.19909278501864	0.0138689435696497	0.977288815361538
